label,logFC,P.Value,adj.P.Val,AveExpr,t,B,absLogFC,log10Pvalue,log10Padj
A1BG,0.313495982,0.27503774,0.456774407,5.8428186,1.137314804,-5.829656493,0.313495982,0.560607709,0.340298237
A1CF,0.33113315,0.115102095,0.260703594,5.64778568,1.683327827,-5.018172878,0.33113315,0.938916771,0.583852982
A2M,-1.186487448,2.91E-07,3.24E-05,6.740836858,-9.288507686,7.205870611,1.186487448,6.535523745,4.489525908
A2ML1,-0.951151621,5.78E-05,0.001225536,6.363737195,-5.733010752,1.98409649,0.951151621,4.238001205,2.91167405
A3GALT2,0.442800219,0.028766943,0.105789347,5.622182581,2.44475558,-3.767414533,0.442800219,1.541106294,0.975558064
A4GALT,0.411399724,0.034931044,0.119817651,5.74608947,2.342440356,-4.006739025,0.411399724,1.456788433,0.921479198
A4GNT,0.035518351,0.863282402,0.920471098,5.446581417,0.175485879,-6.231313573,0.035518351,0.063847112,0.035989844
AAAS,0.163421146,0.221370779,0.3970558,6.108889851,1.281660043,-5.815250181,0.163421146,0.654879706,0.401148456
AACS,-0.31139059,0.038906172,0.12899886,5.963221771,-2.28521236,-4.236179716,0.31139059,1.409981496,0.889414128
AADAC,0.184890497,0.519574213,0.679971039,5.523272273,0.661117836,-6.070763697,0.184890497,0.284352411,0.167509584
AADACL2,0.338862096,0.050871038,0.154013443,5.50654983,2.141259297,-4.240336789,0.338862096,1.293529399,0.81244137
AADACL3,0.008296281,0.951369,0.9717116,6.34773,0.0621219,-6.79988,0.008296281,0.021651,0.0124626
AADACL4,0.116829181,0.598566331,0.739959746,5.62260879,0.53904311,-6.210875505,0.116829181,0.222887716,0.130791906
AADAT,0.181680376,0.347885552,0.529903146,5.612309232,0.972265071,-5.873469421,0.181680376,0.458563608,0.275803502
AAGAB,0.05955352,0.551544,0.7051558,6.354218,0.610574,-6.610721,0.05955352,0.2584198,0.1517149
AAK1,-0.254493835,0.259461216,0.440549199,6.124903184,-1.176773757,-5.945472373,0.254493835,0.585927552,0.356005584
AAMDC,-0.03190473,0.8413398,0.9065855,6.051737,-0.2040433,-6.576859,0.03190473,0.07502859,0.04259123
AAMP,-0.396541011,0.04645934,0.145273913,6.585401464,-2.19023311,-4.802436005,0.396541011,1.332926968,0.837812364
AANAT,0.025476561,0.919811931,0.952343668,5.525802564,0.102555268,-6.292602054,0.025476561,0.036300961,0.021206301
AAR2,-0.403651503,0.009992357,0.051682982,6.180788475,-2.9904369,-3.06310155,0.403651503,2.00033207,1.28665244
AARD,-1.922485169,6.82E-08,1.51E-05,6.055991763,-10.47880624,8.226752883,1.922485169,7.166076463,4.821551078
AARS1,-0.795238814,3.69E-06,0.00016997,6.239087468,-7.449609526,4.738694013,0.795238814,5.433479218,3.769627122
AARS2,-0.336288276,0.083880509,0.212742569,5.785953633,-1.865066739,-4.839887881,0.336288276,1.076338941,0.672145602
AARSD1,0.436753572,0.06177375,0.174960319,5.881061234,2.035362888,-4.595431605,0.436753572,1.209196037,0.757060439
AASDH,-0.445397563,0.01794018,0.07659438,5.623437252,-2.690301581,-3.349156329,0.445397563,1.746173216,1.115803097
AASDHPPT,-0.06783144,0.5780452,0.725741,6.056903,-0.5698828,-6.432412,0.06783144,0.2380382,0.1392183
AASS,0.463286686,0.005387811,0.033598713,5.791121961,3.305079318,-2.268376857,0.463286686,2.268587653,1.473677361
AATF,0.155620005,0.18278036,0.35188854,6.230371418,1.403824293,-5.738064004,0.155620005,0.738070471,0.453594877
AATK,0.490935652,0.024071089,0.093798398,5.688554599,2.537914978,-3.628059824,0.490935652,1.618504268,1.027804579
ABAT,0.903549259,5.74E-05,0.001220558,5.696144079,5.736801368,2.117365445,0.903549259,4.24083448,2.913441521
ABCA1,-0.225465312,0.282352862,0.465651603,6.006378225,-1.119369292,-5.944050433,0.225465312,0.549207806,0.331938898
ABCA10,0.178535098,0.449905972,0.622324934,5.483089888,0.777964149,-5.96212921,0.178535098,0.346878242,0.205982799
ABCA12,0.257436667,0.265665481,0.446489174,5.697619581,1.160845122,-5.719963594,0.257436667,0.575664871,0.350189066
ABCA13,-0.310526847,0.035866088,0.122204075,6.035807946,-2.328443988,-4.194157351,0.310526847,1.445315986,0.912914311
ABCA2,0.110428543,0.501129442,0.665358256,5.945472152,0.691090021,-6.297656028,0.110428543,0.300050081,0.17694445
ABCA3,-0.008494362,0.9532026,0.9725739,6.336561,-0.05977656,-6.792076,0.008494362,0.02081477,0.01207739
ABCA4,0.307413513,0.110987957,0.254408699,5.950791752,1.704571539,-5.161107758,0.307413513,0.954724142,0.594468043
ABCA5,-0.33681698,0.069220804,0.18803999,5.680497325,-1.972538163,-4.613597562,0.33681698,1.159763362,0.725749782
ABCA6,0.177542749,0.489477698,0.655620694,5.417876063,0.710359375,-5.973351658,0.177542749,0.310267091,0.183347347
