p_val	avg_log2FC	pct.1	pct.2	p_val_adj	log10Padj	absLogFC	label
2.8786789979171e-57	2.27450999409585	0.939	0.121	6.21506795650302e-53	52.2065541183541	2.27450999409585	XIST
6.96331385879817e-50	1.88164794121929	1	0.981	1.50337946211452e-45	44.8229313870095	1.88164794121929	XBP1
3.05228600368645e-48	1.5142772783754	0.877	0.198	6.58988548195904e-44	43.1811221324447	1.5142772783754	GSTM3
6.81303744771877e-47	1.92582969614186	1	0.971	1.47093478496248e-42	41.8324065816292	1.92582969614186	AZGP1
3.60966567423033e-46	-1.77069570937445	0.926	0.976	7.79326819066328e-42	41.1082803780761	1.77069570937445	CYB5A
7.70741821909387e-45	1.29367388117329	0.828	0.13	1.66403159350237e-40	39.7788384324002	1.29367388117329	AFF3
8.96805935240177e-42	-3.13040847614515	0.153	0.836	1.93620401418354e-37	36.713048883822	3.13040847614515	PYDC1
3.049871617038e-41	2.34342396625547	0.847	0.242	6.58467282118504e-37	36.1814657993634	2.34342396625547	AGR2
1.91400535762966e-38	1.52243386461867	0.951	0.908	4.13233756712244e-34	33.3838042085584	1.52243386461867	SH3BGRL
1.17669072268523e-37	1.47726484975933	0.706	0.077	2.54047527027742e-33	32.5950850282815	1.47726484975933	SOCS2
3.77657088983877e-36	1.13031070029943	0.785	0.164	8.1536165511619e-32	31.0886497164343	1.13031070029943	FAM129A
1.69592751130773e-35	1.50369124858727	0.975	0.469	3.66150749691338e-31	30.436340072311	1.50369124858727	GSTP1
1.88324778487462e-35	-1.3997311125709	0.086	0.729	4.06593196754431e-31	30.3908398923894	1.3997311125709	AMIGO2
2.02968797678772e-35	-1.40579688551759	0.534	0.961	4.38209634188468e-31	30.3583180785578	1.40579688551759	CITED4
2.86440160452349e-35	-0.760951150509961	0.037	0.696	6.18424306416621e-31	30.2087134493369	0.760951150509961	C19orf33
8.78561356123246e-35	1.19738940121778	0.957	0.551	1.89681396787009e-30	29.7219752609349	1.19738940121778	AR
1.43128221610836e-34	-1.25400584887633	0.62	0.957	3.09013830457796e-30	29.5100220825263	1.25400584887633	SLC7A2
7.77841682695258e-34	1.09242632642905	0.663	0.087	1.67936019293906e-29	28.7748561454171	1.09242632642905	GFRA1
1.00298358485417e-33	2.20199659556987	0.914	0.546	2.16544155970015e-29	28.6644535323877	2.20199659556987	TM4SF1
1.38071562558942e-33	1.23235359932415	0.773	0.246	2.98096503564756e-29	28.5256431178669	1.23235359932415	WIPI1
3.18542758902709e-33	1.45985030332635	0.877	0.353	6.87733816470948e-29	28.1625796204949	1.45985030332635	SCUBE2
2.72514516136043e-32	-1.45492957200921	0.718	0.942	5.88358840337716e-28	27.230357716705	1.45492957200921	PYCARD
4.73547899598577e-32	0.889498859566557	0.988	0.942	1.02238991523333e-27	26.9903834430082	0.889498859566557	CD9
6.96415195238083e-32	-0.863307354071765	0.252	0.85	1.50356040651902e-27	26.8228791191492	0.863307354071765	NFIX
3.57379676947422e-31	0.677918312664489	0.54	0.014	7.71582722529485e-27	26.1126175057484	0.677918312664489	ARHGAP40
3.62390261949362e-31	0.931336628674393	0.558	0.029	7.82400575548673e-27	26.1065708387451	0.931336628674393	TMEM150C
1.23423419226416e-30	0.959245635102239	0.957	0.923	2.66471162109832e-26	25.5743497840642	0.959245635102239	RTN4
1.56402467681049e-30	-2.01811938273299	0.969	0.995	3.37672927723384e-26	25.4715037566925	2.01811938273299	TMSB4X
2.66506146101819e-30	1.01532140021585	0.988	0.937	5.75386769433827e-26	25.2400401285909	1.01532140021585	DDX17
1.08787803591457e-29	1.03314320161702	0.595	0.063	2.34872867953956e-25	24.6291671491587	1.03314320161702	PRSS23
1.3179436495441e-29	1.11332920127846	0.908	0.778	2.8454403393657e-25	24.5458505158564	1.11332920127846	COMT
1.58269375262029e-29	0.666570559751406	0.503	0.005	3.4170358119072e-25	24.4663504695969	0.666570559751406	IGSF21
1.98577034770292e-29	-1.05812040949177	0.779	0.952	4.2872781806906e-25	24.3678183363122	1.05812040949177	BST2
2.90334330341427e-29	1.88343680013492	0.73	0.232	6.2683181920714e-25	24.202848966008	1.88343680013492	PLAT
1.34305679159586e-28	1.44540142452299	0.773	0.353	2.89965961305547e-24	23.5376529803245	1.44540142452299	SGK3
1.92170303976856e-28	-0.800895680433377	0.988	0.995	4.14895686286033e-24	23.3820610805528	0.800895680433377	RPS15A
3.12513418132744e-28	1.5859380450269	0.865	0.493	6.74716469748594e-24	23.1708786886388	1.5859380450269	C15orf48
4.11706796112693e-28	-0.757783270618257	0.988	1	8.88874972807304e-24	23.0511593216377	0.757783270618257	TPT1
1.37584898683195e-27	-1.43738549811343	0.742	0.937	2.97045796257019e-23	22.5271765893075	1.43738549811343	NAT1
3.22838330967292e-27	-0.574379062064066	0.184	0.787	6.97007956558384e-23	22.1567622642697	0.574379062064066	RIC3
