label,logFC,P.Value,adj.P.Val,AveExpr,t,B,absLogFC,log10Pvalue,log10Padj
A1BG,0.011684427,0.961508848,0.986618045,6.072614209,0.048260394,-5.806835196,0.011684427,0.017046715,0.005850946
A1CF,0.136998923,0.677443508,0.946900894,5.69747103,0.415955846,-5.463065976,0.136998923,0.169126915,0.023695473
A2M,0.451210667,0.138958439,0.637829141,5.787075817,1.47969664,-4.653717477,0.451210667,0.857115072,0.195295643
A2ML1,-0.472908141,0.112916239,0.59367544,5.793818092,-1.585239159,-4.526340318,0.472908141,0.947243595,0.226450917
A3GALT2,0.220282096,0.483038014,0.887415945,5.781716689,0.701428198,-5.365570246,0.220282096,0.31601869,0.051872772
A4GALT,-0.123118757,0.706624425,0.946969419,5.366869109,-0.376394874,-5.482070238,0.123118757,0.150811355,0.023664046
A4GNT,0.434301644,0.179133457,0.681114763,5.393935805,1.34344051,-4.78290303,0.434301644,0.746823292,0.166779706
AAAS,-0.080701301,0.623138605,0.927726131,6.395754795,-0.491409055,-6.056021253,0.080701301,0.205415342,0.032580211
AACS,0.242468951,0.372490823,0.837507373,5.965836077,0.891822741,-5.349016489,0.242468951,0.428884422,0.077011361
AADAC,-0.021542442,0.948369876,0.986384959,5.412305563,-0.064754206,-5.526144603,0.021542442,0.023022249,0.005953559
AADACL2,-0.460135789,0.147710875,0.648823144,5.379483108,-1.447679597,-4.668952353,0.460135789,0.83058753,0.187873667
AADACL3,0.292796693,0.112568073,0.59367544,6.316116932,1.586773992,-4.868865281,0.292796693,0.948584766,0.226450917
AADACL4,0.239033772,0.455252447,0.876472308,5.743205706,0.746691011,-5.322273061,0.239033772,0.341747712,0.057261801
AADAT,0.139154363,0.674174235,0.946900894,5.398245522,0.420427714,-5.457427237,0.139154363,0.171227849,0.023695473
AAGAB,0.07133875,0.569253395,0.916347881,6.603486043,0.569153928,-6.274930565,0.07133875,0.244694371,0.03793962
AAK1,0.040937051,0.845229441,0.974045182,6.19396267,0.195209541,-5.922652655,0.040937051,0.073025384,0.011420898
AAMDC,0.371103033,0.057154762,0.471501543,6.281772709,1.902154799,-4.306160312,0.371103033,1.242947578,0.326516882
AAMP,0.041023666,0.721301583,0.951026981,6.669583937,0.356721144,-6.454617824,0.041023666,0.141883115,0.021807162
AANAT,-0.501025277,0.111426544,0.592398906,5.486865633,-1.591832645,-4.486630882,0.501025277,0.95301134,0.227385752
AAR2,0.167578923,0.528722234,0.903306363,5.986467432,0.629960685,-5.545199543,0.167578923,0.276772426,0.04416493
AARD,-0.102447674,0.743797339,0.955758728,5.787557889,-0.326830059,-5.532729855,0.102447674,0.12854538,0.019651727
AARS1,0.01276601,0.953429222,0.986384959,6.159845734,0.058401191,-5.900271263,0.01276601,0.020711541,0.005953559
